DateTime,AddedIPs,RemovedIPs
1512429168,1,0
1513998984,0,1
1516224593,1,0
1518142354,0,1
1518753156,0,1
1519114106,1,0
1521598120,0,1
1526353300,2,0
1526701931,0,1
1527225404,0,0
1527312660,0,0
1527400174,0,0
1527836195,0,0
1527923311,0,0
1528271768,0,0
1529840177,0,1
1531516357,1801,0
1531603498,48,0
1531865095,0,1712
1531952176,1,3
1532039323,0,2
1532126424,0,2
1532213541,2,9
1532300810,1,6
1532388269,1,4
1532475387,1,7
1532562805,0,5
1532649862,1,1
1532737216,1,6
1532824374,2,4
1532911453,2,7
1532998606,1,4
1533085707,0,6
