DateTime,AddedIPs,RemovedIPs
1532140102,9,5
1532142275,8,9
1532144239,11,4
1532146357,9,10
1532148335,11,6
1532150202,5,8
1532152138,7,10
1532154021,4,6
1532156049,11,6
1532157876,5,37
1532159832,16,35
1532161960,8,5
1532163916,7,5
1532165788,2,4
1532167743,2,4
1532169639,5,3
1532171597,4,4
1532173459,10,8
1532175459,6,7
1532177307,65,4
1532179277,7,5
1532181151,4,5
1532183125,133,5
1532184984,10,3
1532186977,11,3
1532188872,12,5
1532190837,13,6
1532192670,7,30
1532194639,54,4
1532196514,6,6
1532198475,9,2
1532200602,11,14
1532202740,9,9
1532204656,11,2
1532206603,9,10
1532208496,46,5
1532210434,154,7
1532212357,1,28
1532214527,3,7
1532216418,29,9
1532218368,5,8
1532220268,5,10
1532222203,5,11
1532224095,3,5
1532226041,2,7
1532227963,4,7
1532229856,5,11
1532231797,2,8
1532233696,5,8
1532235715,11,18
1532237808,38,4
1532239729,5,6
1532241625,39,11
1532243567,13,11
1532245463,23,10
1532247396,90,11
1532249541,7,8
1532251478,3,5
1532253381,7,0
1532255446,6,5
1532257465,4,5
1532259379,2,8
1532261312,5,8
1532263211,6,66
1532265148,11,6
1532267059,7,6
1532268982,5,117
1532270919,4,16
1532272825,2,10
1532274759,6,7
1532276679,3,10
1532278757,3,12
1532280746,2,6
1532282682,9,6
1532284576,1,8
1532286523,4,8
1532288426,3,9
1532290394,5,9
1532292295,5,10
1532294210,6,6
1532296119,30,191
1532298019,6,4
1532299951,6,2
1532302120,83,37
1532304031,4,8
1532305960,5,0
1532307875,101,12
1532309797,3,4
1532311768,8,2
1532313635,345,3
1532315564,736,8
1532317501,3,1
1532319394,7,2
1532321303,9,7
1532323226,5,4
1532325139,3,22
1532327116,3,5
1532329009,1,6
1532330899,1,35
1532332864,3,9
1532334756,2,86
1532336660,1,7
1532338585,1,1
1532341426,3,8
1532343375,3,3
1532345319,2,2
1532347271,6,1
1532349142,10,7
1532351077,10,10
1532352985,3,52
1532355156,6,7
1532357068,67,4
1532359003,16,4
1532360903,2,5
1532362850,10,37
1532364749,4,1
1532366900,13,3
1532368891,155,6
1532370765,4,3
1532372658,10,3
1532374579,16,4
1532376688,9,4
1532379764,20,10
1532381773,10,30
1532383980,6,7
1532385906,37,3
1532387800,8,48
1532389713,15,33
1532391638,6,4
1532393605,9,88
1532395501,8,4
1532397379,3,5
1532399329,5,6
1532401296,4,1085
1532403149,14,4
1532405065,11,5
1532407010,9,19
1532408923,6,3
1532410825,8,4
1532412760,385,2
1532414659,623,6
1532416823,622,1
1532418767,14,1
1532420665,3,6
1532422894,8,3
1532424740,291,0
1532426677,13,3
1532428575,4,3
1532430524,12,3
1532432416,5,7
1532434373,9,4
1532436260,7,13
1532438201,8,3
1532440121,8,2
1532442264,5,70
1532444173,49,15
1532446103,8,7
1532448094,6,6
1532449980,9,7
1532451867,3,7
1532453793,8,179
1532455715,6,41
1532457619,67,8
1532459669,5,13
1532461724,158,22
1532463613,2850,8
1532465574,1903,7
1532467459,1167,3
1532469396,7,4
1532471300,4,9
1532473311,6,3
1532475152,2,7
1532477093,4,6
1532478978,8,7
1532480931,2,8
1532482834,3,3
1532484771,5,0
1532486741,102,8
1532488586,4,4
1532490503,1,5
1532492432,4,3
1532494370,5,5
1532496267,5,21
1532498487,6,139
1532500444,4,537
1532502261,2,627
1532504184,5,192
1532506115,0,4
1532508038,1,3
1532509955,4,85
1532511870,330,320
1532513786,169,2
1532515726,3,4
1532517620,27,3
1532519594,1,4
1532521461,3,11
1532523402,4,2
1532525295,3,5
1532527303,7,4
1532529165,3,2
1532531345,3,40
1532533248,4,3
1532535401,2,4
1532537316,4,7
1532539229,9,3
1532541157,8,10
1532543078,5,1
1532544985,6,58
1532547019,4,1
1532548892,1,1501
1532550800,165,2030
1532552677,12,1566
1532554643,8,499
1532556517,8,22
1532558498,1174,3
1532560348,1488,3
1532562302,943,3
1532564195,4,3
1532566146,7,3
1532568019,5,0
1532569990,8,2
1532571894,19,2
1532573820,2,106
1532575719,3,1
1532577734,5,2
1532579565,1,3
1532581522,5,3
1532583405,7,3
1532585358,6,4
1532587238,2,3
1532589225,157,2
1532591059,4,1
1532593045,5,0
1532594902,6,0
1532597117,9,6
1532598986,903,535
1532600952,659,2
1532602851,556,32
1532604835,740,1
1532606682,31,1
1532608649,7,2
1532610538,8,2
1532612476,12,1
1532614351,5,6
1532616581,8,2
1532618438,8,4
1532620493,5,5
1532622512,8,3
1532624413,118,5
1532626366,3,3
1532628328,6,3
1532630192,5,1
1532633595,4,2
1532635475,6,5
1532637666,5,178
1532639558,5,7
1532641507,146,5
1532643379,50,7
1532646404,30,2637
1532648411,2,1337
1532650249,5,4
1532652263,9,7
1532654102,7,7
1532656363,5,6
1532658273,3,22
1532660176,2,5
1532662131,4,8
1532664065,8,8
1532665972,10,127
1532667888,2,6
1532669816,3,6
1532671721,489,6
1532673895,4,9
1532675788,4,101
1532677977,24,8
1532679875,8,5
1532681800,4,6
1532683958,1,8
1532685881,1,907
1532687776,3,623
1532689748,377,635
1532691635,6,614
1532693580,6,7
1532695467,5,8
1532697389,1,13
1532699320,3,16
1532701310,6,5
1532703342,2,9
1532705313,2,10
1532707216,119,9
1532709158,10,10
1532711336,4,170
1532713230,3,7
1532715165,4,5
1532717074,7,8
1532718999,8,21
1532720899,4,11
1532722830,9,5
1532724743,11,4
1532726682,1206,22
1532728584,1728,91
1532731568,905,97
1532733396,2,15
1532735440,26,5
1532737476,6,4
1532739298,11,4
1532741559,5,4
1532743482,5,2
1532745379,6,3
1532747332,5,1
1532749240,4,4
1532751167,4,6
1532753072,2,4
1532755006,5,2
1532756916,4,3
1532758824,3,249
1532760758,9,2
1532762680,5,4
1532764590,3,6
1532766507,7,4
1532769609,12,4
1532771567,2,1
1532773516,51,44
1532775377,3,309
1532777330,2,217
1532779278,6,0
1532781162,6,5
1532783085,5,3
1532784997,5,1
1532786900,4,5
1532788833,4,1
1532790746,129,4
1532792689,86,2
1532794712,3,2
1532796752,5,6
1532798649,50,1
1532800885,4,2
1532802758,3,2
1532804751,4,1
1532806600,3,5
1532808583,4,6
1532810423,3,3
1532812435,4,708
1532814274,7,1843
1532816311,10,1663
1532818350,5,5
1532820262,7,4
1532822439,2,26
1532824375,4,6
1532826555,30,15
1532828445,4,1
1532830403,4,10
1532832286,6,3
1532834173,1,8
1532836113,5,7
1532838010,2,7
1532839932,172,6
1532841859,7,5
1532843770,12,4
1532845708,149,7
1532847873,7,8
1532849807,21,5
1532851722,84,5
1532853624,20,5
1532855543,6,13
1532857488,6,4
1532859409,0,2
1532861307,3,2
1532863225,2,3
1532865175,0,55
1532867076,3,8
1532868997,4,79
1532870906,66,7
1532872847,2,7
1532874765,3,9
1532876667,6,9
1532878581,3,224
1532880551,4,5
1532882413,4,6
1532884591,3,55
1532886531,6,7
1532888420,2,4
1532890343,0,5
1532892281,4,4
1532894178,3,5
1532896383,6,4
1532898269,46,6
1532900173,29,5
1532902113,2,11
1532904012,2,9
1532905943,7,6
1532907874,5,4
1532910169,5,5
1532912174,4,9
1532914113,3,5
1532916072,4,2
1532917946,4,6
1532919887,1,3
1532921782,6,3
1532923710,2,3
1532925625,167,35
1532927541,318,5
1532929469,136,16
1532931388,5,2
1532933303,7,9
1532935246,2,25
1532937167,3,3
1532939089,4,106
1532940990,8,4
1532942900,115,6
1532944838,3,2
1532946745,4,1
1532948669,5,5
1532950597,4,1
1532952505,0,4
1532954418,4,1
1532956343,4,5
1532958296,6,40
1532960196,6,4
1532962111,1,3
1532964023,2,7
1532965962,4,3
1532967870,28,4
1532969801,5,3
1532971724,9,7
1532973692,9,3
1532975552,3,0
1532977469,4,3
1532979401,4,3
1532981316,7,1
1532983262,10,8
1532985151,3,49
1532987099,96,22
1532988982,1718,2
1532990923,1739,2
1532992849,783,4
1532994771,5,5
1532996679,3,3
1532998608,5,0
1533000517,3,3
1533002496,6,3
1533004359,1,3
1533006276,12,3
1533008217,5,2
1533010122,3,2
1533012026,3,159
1533013976,3,312
1533015868,2,132
1533017811,6,2
1533019710,5,3
1533021632,4,1
1533023593,6,2
1533025530,9,1
1533027401,2,5
1533029308,6,112
1533031310,5,4
1533033420,10,3
1533035322,5,3
1533037247,5,2
1533039171,11,0
1533041069,325,3
1533043019,2,3
1533044932,8,68
1533046820,8,4
1533049017,5,0
1533050905,1,3
1533052769,1,2
1533054789,2,29
1533056922,6,5
1533058815,85,8
1533060769,2,4
1533062656,2,2
1533064594,3,4
1533067156,9,4
1533069168,3,8
1533071069,165,0
1533073227,7,21
1533075313,53,623
1533077316,629,526
1533079213,525,7
1533081132,5,6
1533083072,8,3
1533084974,5,5
1533086793,8,4
1533088594,10,6
1533090622,13,3
1533092507,4,3
1533094497,246,5
1533096509,1026,4
1533098331,416,3
1533100339,47,3
1533102169,11,1
1533103970,2,2
1533105963,1402,104
1533107811,6,2
1533109804,54,4
1533111642,11,3
1533113624,22,2
1533115482,5,5
1533117443,358,3
