DateTime,Entries,UniqueIPs
1532908102,2750,2750
1532909068,2742,2742
1532910161,2710,2710
1532911215,2682,2682
1532912169,2697,2697
1532913141,2688,2688
1532914109,2682,2682
1532915059,2673,2673
1532916034,2682,2682
1532916998,2660,2660
1532917941,2668,2668
1532918895,2678,2678
1532919880,2710,2710
1532920809,2711,2711
1532921774,2706,2706
1532922753,2702,2702
1532923697,2722,2722
1532924664,2714,2714
1532925621,2715,2715
1532926589,2739,2739
1532927537,2762,2762
1532928502,2740,2740
1532929465,2752,2752
1532930438,2759,2759
1532931380,2750,2750
1532932362,2764,2764
1532933295,2745,2745
1532934280,2750,2750
1532935241,2751,2751
1532936201,2741,2741
1532937162,2744,2744
1532938105,2756,2756
1532939084,2792,2792
1532940013,2777,2777
1532940985,2779,2779
1532941947,2788,2788
1532942895,2740,2740
1532943881,2761,2761
1532944830,2791,2791
1532945793,2788,2788
1532946740,2794,2794
1532947698,2800,2800
1532948665,2810,2810
1532949611,2814,2814
1532950593,2829,2829
1532951575,2825,2825
1532952499,2853,2853
1532953468,2862,2862
1532954414,2862,2862
1532955391,2862,2862
1532956338,2847,2847
1532957303,2859,2859
1532958291,2875,2875
1532959234,2864,2864
1532960187,2847,2847
1532961142,2866,2866
1532962099,2879,2879
1532963067,2883,2883
1532964015,2886,2886
1532964997,2883,2883
1532965952,2894,2894
1532966931,2916,2916
1532967863,2911,2911
1532968815,2921,2921
1532969793,2922,2922
1532970758,2917,2917
1532971717,2939,2939
1532972664,2929,2929
1532973647,2934,2934
1532974581,2916,2916
1532975545,2906,2906
1532976499,2926,2926
1532977462,2918,2918
1532978423,2906,2906
1532979394,2914,2914
1532980351,2922,2922
1532981299,2923,2923
1532983255,2921,2921
1532984170,2917,2917
1532985144,2949,2949
1532986105,2945,2945
1532987091,2946,2946
1532988026,2945,2945
1532988975,2950,2950
1532989958,2955,2955
1532990916,2952,2952
1532991875,2942,2942
1532992840,2940,2940
1532993793,2951,2951
1532994763,2951,2951
1532995699,2948,2948
1532996671,2926,2926
1532997629,2931,2931
1532998599,2933,2933
1532999562,2948,2948
1533000505,2938,2938
1533001472,2943,2943
1533002481,2926,2926
1533003384,2894,2894
1533004345,2881,2881
1533005299,2890,2890
1533006268,2912,2912
1533007209,2882,2882
1533008209,2910,2910
1533009134,2898,2898
1533010110,2908,2908
1533011069,2914,2914
1533012019,2926,2926
1533012997,2944,2944
1533013967,2927,2927
1533014914,2931,2931
1533015860,2923,2923
1533016826,2947,2947
1533017803,2933,2933
1533018737,2951,2951
1533019701,2919,2919
1533020660,2941,2941
1533021623,2975,2975
1533022572,2977,2977
1533023581,3016,3016
1533024496,2971,2971
1533025521,3000,3000
1533026410,2991,2991
1533026679,3006,3006
1533027393,2992,2992
1533027860,3019,3019
1533028360,3002,3002
1533028817,3018,3018
1533029298,3000,3000
1533029794,3009,3009
1533030262,3007,3007
1533030729,2907,2907
1533031250,2902,2902
1533031731,2919,2919
1533032189,2919,2919
1533032676,2943,2943
1533033411,2972,2972
1533033869,2998,2998
1533034362,3006,3006
1533034819,3012,3012
1533035301,3010,3010
1533035793,3034,3034
1533036253,3031,3031
1533036740,3056,3056
1533037239,3062,3062
1533037697,3016,3016
1533038203,3013,3013
1533038682,3036,3036
1533039164,3026,3026
1533039623,3040,3040
1533040093,3026,3026
1533040589,3049,3049
1533041061,3038,3038
1533041557,3058,3058
1533042031,3048,3048
1533042497,3005,3005
1533043007,3003,3003
1533043461,3018,3018
1533043960,3022,3022
1533044414,3035,3035
1533044924,3039,3039
1533045394,3069,3069
1533045890,3068,3068
1533046338,3070,3070
1533046813,3077,3077
1533047327,3098,3098
1533047792,3099,3099
1533048295,3099,3099
1533049005,3099,3099
1533049487,3089,3089
1533050045,3086,3086
1533050415,3094,3094
1533051132,3095,3095
1533051388,3110,3110
1533052109,3104,3104
1533052587,3093,3093
1533053098,3089,3089
1533053564,3094,3094
1533054036,3087,3087
1533054492,3082,3082
1533055233,3078,3078
1533055490,3089,3089
1533056448,3087,3087
1533057374,3079,3079
1533058349,3072,3072
1533059303,3096,3096
1533060270,3089,3089
1533061217,3088,3088
1533062175,3096,3096
1533063151,3099,3099
1533064123,3147,3147
1533065056,3100,3100
1533066019,3111,3111
1533067526,3107,3107
1533068661,3129,3129
1533069611,3134,3134
1533070589,3140,3140
1533071678,3139,3139
1533072755,3140,3140
1533073712,3134,3134
1533074683,3137,3137
1533075622,3128,3128
1533076590,3127,3127
1533077548,3139,3139
1533078496,3132,3132
1533079473,3124,3124
1533080411,3114,3114
1533081369,3111,3111
1533082363,3107,3107
1533083305,3083,3083
1533084269,3027,3027
1533085234,3029,3029
1533086181,3016,3016
1533087164,3002,3002
1533088093,2997,2997
1533089068,2988,2988
1533090012,2970,2970
1533091006,2960,2960
1533091947,2974,2974
1533092917,2981,2981
1533093857,2968,2968
1533094815,2991,2991
1533095777,2985,2985
1533096735,3001,3001
1533097702,2988,2988
1533098682,3024,3024
1533099628,2963,2963
1533100593,2967,2967
1533101541,2980,2980
1533102500,2971,2971
1533103468,2999,2999
1533104414,3014,3014
1533105390,3003,3003
1533106364,3068,3068
1533107294,3046,3046
1533108254,3065,3065
1533109214,3080,3080
1533110215,3080,3080
1533111136,3083,3083
1533112116,3116,3116
1533113069,3128,3128
1533114042,3145,3145
1533114975,3139,3139
1533115937,3182,3182
1533116916,3191,3191
1533117884,3215,3215
1533118813,3164,3164
