DateTime,AddedIPs,RemovedIPs
1532992924,80,76
1532993524,75,0
1532994124,75,153
1532995323,68,0
1532995923,75,71
1532996523,80,76
1532997124,78,78
1532997723,79,135
1532998324,77,0
1532998924,78,74
1532999523,80,0
1533000123,79,150
1533000724,79,0
1533001324,79,151
1533001923,79,0
1533002523,78,0
1533003123,79,156
1533003723,77,0
1533004324,76,80
1533004924,80,74
1533005523,78,78
1533006123,78,77
1533007324,79,79
1533007923,79,79
1533008524,78,0
1533009723,77,231
1533010323,76,0
1533010923,77,78
1533011523,76,79
1533012123,76,74
1533012723,78,0
1533013323,77,78
1533013924,78,75
1533014524,77,0
1533015123,80,155
1533015723,60,77
1533016923,77,0
1533018123,80,238
1533019323,79,0
1533019924,76,78
1533020523,75,78
1533021724,75,151
1533022923,73,78
1533024124,74,156
1533025324,74,152
1533025924,77,0
1533026523,73,76
1533027124,74,0
1533027723,76,0
1533028923,73,73
1533030123,77,76
1533031323,59,160
1533031924,79,0
1533032523,79,79
1533033124,80,79
1533033724,80,0
1533034923,74,153
1533036124,78,151
1533036723,80,0
1533037323,78,77
1533037923,80,77
1533038523,76,73
1533039723,10,0
1533040924,77,138
1533042123,78,0
1533042723,78,156
1533043323,70,0
1533043923,74,80
1533044523,74,76
1533045123,74,0
1533045723,16,0
1533046923,21,139
1533047524,48,151
1533048123,80,77
1533048724,79,72
1533049324,78,0
1533049923,77,74
1533050524,78,0
1533051723,65,228
1533052324,78,79
1533052923,59,0
1533054123,77,232
1533054723,80,0
1533055323,72,0
1533055924,79,78
1533056523,76,151
1533057723,76,74
1533058923,77,0
1533059523,77,79
1533060124,77,0
1533061323,78,228
1533062523,74,0
1533063123,76,76
1533063724,78,141
1533064323,80,71
1533064924,78,0
1533065523,75,75
1533067323,53,152
1533068524,78,79
1533069724,78,73
1533070923,72,153
1533072124,74,75
1533073323,30,76
1533073923,80,72
1533074523,80,159
1533075724,80,78
1533076924,14,159
1533078124,60,75
1533078723,79,125
1533079324,75,0
1533080524,58,155
1533081724,60,154
1533082924,80,61
1533084124,79,160
1533085323,75,156
1533086524,79,158
1533087723,80,139
1533088923,79,160
1533090123,51,160
1533090723,78,91
1533091323,77,0
1533091923,74,79
1533092523,73,149
1533093123,71,0
1533093724,78,79
1533094924,75,74
1533095523,72,78
1533096124,70,0
1533097323,75,158
1533098524,79,238
1533099724,72,78
1533100923,73,198
1533102124,79,158
1533102724,76,0
1533103323,78,79
1533103924,75,0
1533104524,75,0
1533105124,75,44
1533105724,75,74
1533106923,80,77
1533107524,78,52
1533108123,80,0
1533108724,80,76
1533109323,78,0
1533109923,80,71
1533110524,75,79
1533111723,80,0
1533112324,76,77
1533112924,80,159
1533113523,57,79
1533114123,78,79
1533115324,80,72
1533116523,35,0
1533117123,80,73
1533117723,78,0
1533118324,80,80
1533118924,77,76
